Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Salaries and wages,12489039,NaN,NaN,16585456,NaN,22336337,21952655,23204883,24733780,28522626,33884204,36304654,40676362,47098641,54051875,56025118,57907843,61761245,65374814,70069247,80292538,94181234,115199593,142910961,169905010,201350844,230874139,237882426,244927745,268806663,293216548,331851279,331851279,403229369,389650325,405359065,435594782,462762450,501819254,541453609,577746711,606596550,657088598,700374995,712051408,774967319,872118799,991848964
        Less: jobs credit,NaN,NaN,NaN,NaN,NaN,19815,91418,15583,13480,22515,16511,41169,2785107,266027,281388,26244,17805,11129,15225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Guaranteed payments to partners,2649186,NaN,NaN,3500460,NaN,4746253,5212661,5350678,5838956,7517503,7694236,7237781,7212214,8059223,9748284,8829449,9849016,9945449,10398313,10918683,12353212,13683193,15528514,18268692,21102416,24301557,26762540,28147265,28472046,32213217,36717580,41759375,41759375,51827098,48003745,50008233,53519934,57864841,61787892,67100175,67146214,70245218,73904399,68967435,68845819,74044266,81086502,81949505
     Rent paid,3626571,NaN,NaN,5154353,NaN,6631627,4985675,5693874,6224359,7533299,8537160,9479021,8983537,10578657,12018268,13034650,13692816,14022168,14949902,15637877,17331831,19344223,23466746,27757094,31042897,35932443,42276815,44598862,46442451,50402698,55895492,62379198,62379198,74626236,73739226,78353244,80604298,82531969,89139680,92197088,101279145,103980661,113482573,117875840,120623444,126012953,133725972,144656655
     Interest paid,12097100,NaN,NaN,16022804,NaN,28362386,19586018,21517044,22364264,25437588,28674933,29452297,19953845,23242437,32747005,29617935,27973593,25091279,27006200,36432301,42775881,49190487,59519342,73406067,74428567,92751748,97278387,68127690,64619863,64457049,103453348,136788830,136788830,142571532,94119640,85862393,81231081,81072973,78054746,82882319,85496044,96809736,111008159,106664500,113739451,127961963,113144946,119311133
     Taxes and licenses,5770918,NaN,NaN,7364870,NaN,9553145,5040336,5288971,5909545,6673186,7745756,7866233,6867461,7993317,8873071,9339396,9863080,10307970,10877982,11545647,13151513,14738742,17922755,23813223,26896235,31145304,34626540,36416569,39019475,42114276,46896065,52973535,52973535,63015850,61647989,63288386,68872988,73198286,78788525,83391297,87315881,89132302,95487385,99163744,92037674,104769369,139753058,161264028
     Bad debts,255093,NaN,NaN,263583,NaN,392259,394458,556090,635769,657156,798293,1085091,1220161,1397284,1653786,3486235,2713892,2857503,2754734,2535273,3573119,5188483,5850425,7347904,8415571,9820088,12241864,14176575,12374380,12770923,15256780,12298985,12298985,32219946,40355747,32607437,14788745,24979310,14937166,15027032,17186398,19099278,20074390,21144069,23119196,27741283,20558885,24453971
     Repairs and maintenance,2202626,NaN,NaN,3352299,NaN,4910831,1900379,1950053,1993665,2302985,2498020,2538640,2513846,2785235,3186556,3490358,3575463,3846682,4282210,4436481,5058545,5941081,7668494,8537670,9859621,11302059,12624866,13535089,14270433,15515490,17265523,19365103,19365103,22463069,21839212,23503815,24873513,27219452,28453808,30564085,32838705,34121685,36517655,38873347,37516476,39758587,43603236,49025423
     Depreciation,10108834,NaN,NaN,14519760,NaN,21576190,NaN,NaN,NaN,NaN,22575913,25446371,19307397,19799142,19604615,19433190,19090650,19773081,20692214,21811355,24001617,28607286,37763139,42579701,51730335,58912624,72199421,82897056,83564737,90230757,70834176,78611668,78611668,129739268,125349711,130060596,172267579,136841830,157618397,167928282,176033137,187450186,226632473,260659657,275980068,277447511,255705930,271099292
     Amortization,165755,NaN,NaN,222728,NaN,583353,937460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Depletion,392734,NaN,NaN,246530,NaN,370594,308866,465882,375404,277521,242097,311118,287787,314882,312229,363858,305490,317556,214262,291015,323910,371771,382488,322489,402119,410837,453832,504061,492467,695313,815433,810776,810776,1089961,697852,1136950,1258518,1302243,1101106,901941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Retirement plans etc.,190127,NaN,NaN,260432,NaN,384956,358939,413489,452471,530116,703297,851939,744077,965832,1292058,1193245,1341535,1383748,1572606,1662421,1923056,2212520,2452054,3008573,3555224,4293150,5478146,6444065,7742624,7946658,8419160,9699587,9699587,13637545,13554208,10812565,13559083,12794565,12795586,13279878,13475978,14934684,16858777,15651350,15179541,17954041,17352399,18910159
     Employee benefit programs,285391,NaN,NaN,458999,NaN,716304,514505,602220,600203,871296,1019335,1187781,1267221,1747787,2329891,2642264,3049236,3329192,3599819,3786552,4313373,4967162,6073311,7813657,9323890,11152300,14413073,16654928,17864037,19178240,20050163,22870238,22870238,29958470,27788656,28667946,30139909,32453375,34742052,43493002,41003456,45534595,48486237,49852988,49173328,55395264,59114442,64598187
     Ordinary loss from other partnerships and fiduciaries,1150079,NaN,NaN,1961174,NaN,4702654,6987649,8767376,9224949,10021495,13227029,15076648,5511410,5798786,7041412,8561592,7312918,7061442,6001422,6976737,7094207,12115195,16203396,19690053,21572769,25053841,35526353,26854498,24091002,26003075,23744327,31265506,31265506,107174089,88537709,64605827,65704048,56962081,61115616,60171596,76356647,81516396,104168518,116311859,134019405,172201231,157955998,150144409
     Rent net loss,NaN,NaN,NaN,NaN,NaN,NaN,12507395,14761087,19553817,26398850,32473197,38862999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Royalty net loss,NaN,NaN,NaN,NaN,NaN,NaN,229221,201705,117687,20427,12431,37477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net loss,6816,NaN,NaN,14677,NaN,13969,2398676,2515960,2211782,2669010,2895554,2607243,1675642,2259790,1748783,1849205,1854389,1348342,1704820,1930801,2296388,2106348,2110358,2706695,2669190,3159824,3438913,3999938,3722278,3792196,4260904,5738117,5738117,6009888,7389897,6349983,6419788,5715943,7893380,6595942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss from other partnerships,1150079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net loss, noncapital assets",120330,NaN,NaN,193501,NaN,716247,568479,438252,217888,389944,290604,530744,1022652,403651,682103,1053321,377689,589459,577622,667548,705679,610676,748157,853481,1167255,1748046,4530495,3576661,2254168,2201202,2992837,2841852,2841852,10645567,11937699,6804798,7398345,4142433,6154816,6031652,6485226,5514782,6058976,6817904,7210678,9487067,8728183,8724084
     Other deductions,24496517,NaN,NaN,47406474,NaN,63886500,51260982,53986241,52355781,58252033,66430129,71670832,71883520,80221966,87627699,92126318,95042416,103026051,112276793,123676375,143328531,173205878,220836909,269859625,313263035,362507941,417404132,441818861,455023911,512706488,568977626,637628843,637628843,784941709,689292319,702957790,744072138,801801859,840673544,885583881,937420431,966315795,1069592085,1110196946,1083702513,1161969081,1361200726,1520434162
Net profit (less loss),7737570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net profit,22431931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss,14694361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
 Ordinary business income (loss),NaN,NaN,NaN,14446809,NaN,8248656,-2734897,-7314587,-2610041,-3500024,-8883674,-17370860,19303350,33386948,29788726,25526781,25028401,38273759,51418125,56304445,60858305,89857772,92866348,88767531,107481261,119168367,114217614,126212499,154485912,206502522,308977137,357055417,357055417,110805898,137813309,254553535,255751530,392228047,387606756,440572628,379936585,354724024,358945282,376912230,292638748,316568537,661461193,847619582
      Net income,NaN,NaN,NaN,33689343,NaN,45061756,50567190,53556856,60308114,69696922,77044693,80214873,62028990,75446656,75888759,76435760,72619843,81877970,92627139,98075024,109314199,149821093,167508411,182442611,210453491,240565978,265512155,266933632,284691823,347277588,444601621,516281778,516281778,524951632,458805359,499945046,528156205,623270776,637337054,690096548,672317946,665512286,740214518,768052696,732677071,870954595,1152241576,1336553741
      Loss,NaN,NaN,NaN,19242534,NaN,36813101,53302086,60871442,62918155,73196946,85928367,97585733,42725640,42169708,46100033,50908979,47591442,43604210,41209013,41770579,48455894,59963321,74642063,93675080,102972230,121397612,151294542,140721133,130205911,140775066,135624484,159226360,159226360,414145735,320992050,245391511,272404676,231042728,249730298,249523921,292381361,310788263,381269235,391140466,440038323,554386058,490780383,488934159
Capital gains and losses allocable to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net short-term capital gain (less loss),NaN,NaN,NaN,246857,NaN,-4528,906491741,1249482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net long-term capital gain (less loss),NaN,NaN,NaN,3749996,NaN,6386412,5546775,7060222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income distributed directly to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
  Portfolio income (loss) distributed directly to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29662546,41900637,49217640,38635985,34070353,32062494,44314395,45105521,77342327,108149024,140336774,161897547,206713189,275827300,152983983,110667014,188901446,355581512,535267067,722426524,722426524,370840964,222071989,618879004,665684115,903348369,910672961,1076596885,995539608,850020729,1214674616,1211350828,1154695022,1337776818,2631754143,
     Interest income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13568398,19776489,20941861,20799631,19872179,15570376,16327321,19450589,31240619,33363831,40709135,51454743,61769762,82322875,84801548,70225315,70702884,87942510,133742088,193499813,193499813,245112463,178069262,182578876,170372178,166218587,156987861,153825358,155005964,181106456,203084474,240778269,261628027,237489985,232799046,335128294
     Dividend income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2310346,2849037,3239280,2827586,2872179,2516408,3042507,4448472,5392016,8844784,11729852,13710835,16704092,20921231,23420217,26271049,31279662,49289305,65013094,83897950,83897950,96314599,78934953,130843672,120294486,157907896,149196774,162729221,159450074,166780363,174554145,184802736,186839272,197343395,285284706,296286465
     Royalties ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,588096,588838,767254,911554,1108967,1484627,1858988,2375149,2270245,2962937,3300635,3686819,4718816,5958686,7926721,7984177,11665867,12059130,16296768,14219959,14219959,22131102,14908744,19329352,24121426,23545929,27693086,34711302,29803275,27998219,31082457,40549478,33630926,38812965,54979643,80464397
     Net short-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414372,3413904,9689486,2403648,2877965,2162063,5170055,-1054112,4495804,8123363,12518579,1147207,18891946,13134895,-11062075,-4764774,22681210,27837829,42563416,54613689,54613689,-125438062,64099636,73322513,17653581,59443290,90348716,66058368,5086159,17331887,90372588,-29523435,75624458,80106047,188417925,-124775201
     Net long-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12290025,14746186,14041310,10838690,6759199,9497899,16991553,19264327,32710599,53249372,70309330,90016391,102180129,147822248,45144675,9151631,49521530,178452737,277651703,376195114,376195114,132720862,-113940605,212804591,333242445,496232666,486446524,659272636,646194135,456803804,715580952,774743781,596972339,784024424,1870272823,968284376
     Other portfolio income (less deficit),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,491309,526474,538450,854875,593426,831120,923972,621095,1233044,1604738,1769243,1881552,2448445,5667366,2752897,1799616,3050294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Net rental real estate income (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41746473,-43274662,-42096327,-35164507,-28574631,-16942212,-8397349,-2495091,4365753,7612463,17326614,26864282,36432210,35041911,42801431,39557953,30541245,28553287,18506453,15122150,15122150,-12517724,-3663647,3960412,8212790,34099923,42943661,42841947,54409785,57012446,41740974,40492618,-8808487,-36658977,-42260936,-66872253
   Net income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13145084,16164498,17749202,19670063,20158010,22151863,24987639,28081620,32091524,36153925,43843125,53811644,63020996,66244247,77143213,78723925,77470882,83230533,87034416,89508702,89508702,96330537,96236328,99497506,102623517,120352343,128910804,137827541,150848414,162916110,167219633,187563644,169436325,180270946,213650626,229409176
   Loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54891557,59439160,59845529,54834570,48730641,39094075,33384988,30576712,27725771,28541463,26516511,26947362,26588786,31202337,34341782,39165972,46929637,54677246,68527963,74386552,74386552,108848261,99899975,95537094,94410727,86252420,85967142,94985594,96438628,105903665,125478658,147071026,178244812,216929923,255911563,296281429
Other net rental income (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65869,639991,920031,853621,519648,1182570,1478724,1478416,1469214,971723,538898,338865,-1116481,-89676,414396,-1383440,-327646,391639,3674564,2923321,2923321,-3661014,3815928,2461886,2144314,3924094,4413193,2762459,1898684,4082134,650215,1174361,-5282038,6696955,2858775,-2597844
   Net income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1341105,2437243,2389838,2153623,2585961,2582159,2679272,3048067,3352876,2925324,3049946,2942190,2932258,4611795,5044347,4317940,5039003,6059852,7240732,6831229,6831229,8080754,10813223,8219611,7207481,7721229,8617407,7949916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1275235,1797252,1469807,1300003,2066313,1399589,1200549,1569651,1883662,1953601,2511048,2603325,4048739,4701471,4629951,5701380,5366649,5668213,3566168,3907908,3907908,11741769,6997295,5757726,5063167,3797135,4204214,5187457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Total net income (loss) [1],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5419105,14493114,14099275,16609540,21406607,42916649,66652288,82183076,106829196,145218248,168240726,186704627,228438105,268990758,276334824,270667169,301398218,384738394,546210103,666718610,666718610,458185323,409878549,593727733,580896723,777924476,768841333,837442914,780504367,791703641,810057547,884709693,760646448,760252861,1195122426,1490028641
   Net income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87654011,111384545,113885966,116317801,113408221,121834358,137440684,150927744,178650951,228157636,262373206,297875299,348467958,409972787,446069172,439761741,468552382,566231686,723605859,871055480,871055480,929264368,795938390,904393661,913019192,1068043099,1079587830,1156121917,1137464573,1173305066,1278155007,1381514923,1341704437,1475744559,1895645011,2222211568
   Loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93073116,96891431,99786691,99708261,92001615,78917710,70788396,68744668,71821755,82939388,94132480,111170672,120029853,140982029,169734347,169094572,167154164,181493292,177395756,204336870,204336870,471079045,386059841,310665929,332122470,290118622,310746498,318679004,356960206,381601426,468097460,496805230,581057989,715491698,700522585,732182927
