Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adjusted GDP,11682.100345487803,12094.445057560975,12532.610043365854,13136.71375790244,14020.553169878049,14956.516495999998,15854.223657121951,16618.410321390245,16972.322523682928,16707.497588780487,17316.884208975607,17903.642099219513,18634.862280024387,19297.12687178049,20070.861906585364,20831.720510487805,21374.41845060976,22259.84426036586,23350.889978439023,24298.982821756093,24187.524184878053,26855.557689780493,29481.721153097566
Adjusted GDI,11682.100345487803,12094.445057560975,12532.610043365854,13136.71275790244,14020.553169878049,14956.515495999998,15854.223657121951,16618.409321390245,16972.322523682928,16707.497588780487,17316.884208975607,17903.641099219512,18634.86228002439,19297.12787178049,20070.861906585367,20831.7205104878,21374.41845060976,22259.84426036586,23350.889978439023,24298.982821756093,24187.524184878053,26855.557689780493,29481.722153097562
