Variable,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1960.3,1961.0,1961.3,1962.0,1962.3,1963.0,1963.3,1964.0,1965.0,1966.0,1966.3,1967.0,1967.3,1968.0,1968.3,1969.0,1969.3,1970.0,1970.3,1971.0,1971.2,1971.3,1972.0,1972.2,1972.3,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
"Sales of capital assets, net loss",2.452297e6,2.499662e6,1.95552e6,3.258571e6,3.282471e6,2.835865e6,2.538526e6,3.731862e6,5.12635e6,4.991131e6,4.128228e6,4.879114e6,6.796602e6,6.003859e6,6.003859e6,0.0,8.290879e6,6.821421e6,6.821421e6,74598.0,74598.0,73140.0,4.9529695e7,45355.0,67068.0,40212.0,65356.0,94899.0,7.6637902e7,66796.0,8.6568215e7,84521.0,7.665251e6,529664.0,529664.0,8.847885e6,677732.0,677732.0,1.729869e6,1.07901436e8,1.23464526e8,1.24382197e8,1.40801196e8,2.586729e6,3.00102e6,2.882736e6,3.063698e6,3.894583e6,4.110675e6,7.7962745e7,8.1557399e7,8.276213e7,8.3898079e7,8.669448e7,8.7120969e7,8.9162747e7,8.9844225e7,8.8717148e7,8.6708399e7,4.208182e6,4.397932e6,4.339781e6,4.592121e6,9.3449611e7,6.523019e6,2.8952022e7,2.5492046e7,2.2136901e7,1.8751674e7,1.6508394e7,2.8568091e7,3.1912136e7,8.447593e7,9.1693088e7,9.3109721e7,9.4518546e7,9.6531271e7,9.9021502e7,1.00037782e8,1.03730078e8,1.0040416e8,1.03985756e8,1.02943986e8,1.04549808e8,1.1061188e8
Sales of property other than capital assets (gain),226832.0,294418.0,443408.0,431815.0,499809.0,583811.0,670764.0,806069.0,626639.0,657308.0,755964.0,885321.0,883362.0,962164.0,962164.0,4.2225498e7,1.114271e6,1.349567e6,1.349567e6,19483.0,0.0,0.0,290145.0,1.2080129e7,0.0,1.3032056e7,0.0,5.340067e6,NaN,1.4182123e7,NaN,1.3737906e7,1.3737906e7,8.5239774e7,8.5239774e7,8.5239774e7,9.3359829e7,9.3359829e7,9.3359829e7,NaN,NaN,NaN,NaN,9.328088e6,1.0983905e7,1.2048967e7,1.3664671e7,1.7820245e7,1.3686703e7,1.7720479e7,1.9432812e7,1.84986e7,1.607081e7,1.2037656e7,1.2417624e7,1.1712004e7,1.1829067e7,1.2397229e7,1.2578256e7,4.922776e6,5.568453e6,5.73482e6,6.531881e6,6.321177e6,7.291728e6,3.3452704e7,3.8465692e7,4.39884e7,4.9926987e7,5.6287538e7,5.7144996e7,5.5406275e7,2.7454568e7,2.7532751e7,2.7462015e7,2.7850899e7,3.0088465e7,3.1110732e7,3.3468377e7,3.4292386e7,3.5230639e7,5.567843e6,4.336115e6,3.567122e6,3.876986e6
Sales of property other than capital assets (loss),0.0,0.0,0.0,0.0,0.0,0.0,0.0,690691.0,797732.0,1.313473e6,1.686228e6,1.90992e6,1.514464e6,674547.0,2.308657e6,8.290879e6,2.014683e6,691986.0,2.343416e6,4.820358e7,4.820358e7,4.7152855e7,687387.0,243518.0,5.6087084e7,272741.0,6.2919958e7,7.6637902e7,1.5222211e7,358760.0,1.5739608e7,342801.0,342801.0,1.4154373e7,1.4154373e7,1.4154373e7,1.526139e7,1.526139e7,1.526139e7,NaN,NaN,NaN,NaN,1.938501e6,2.368949e6,3.239212e6,3.629571e6,1.800161e6,4.996947e6,3.501975e6,4.416589e6,3.492144e6,4.455767e6,4.623652e6,4.419387e6,5.421819e6,4.828713e6,6.857446e6,7.812621e6,1.33437568e8,1.54276614e8,1.66418667e8,1.90739214e8,2.1355941e8,3.14665137e8,1.9843995e7,2.0610232e7,2.0652859e7,2.3015298e7,2.4624543e7,2.6595897e7,2.5711141e7,2.9819583e7,2.7307089e7,2.4186446e7,2.090911e7,1.7619852e7,1.8646316e7,2.0125823e7,1.6779101e7,1.7105832e7,1.6266128e7,1.9310935e7,1.6241889e7,2.8874408e7
Dividends in adjusted gross income,1.14803747e8,1.25881402e8,1.24883148e8,1.39073125e8,1.60481697e8,1.74339032e8,1.8773392e8,1.85952623e8,2.00712105e8,2.15617981e8,2.28076909e8,2.27550557e8,2.47370212e8,2.57917854e8,2.57917854e8,1.114271e6,2.66902279e8,2.83372515e8,2.83372515e8,1.0341894e7,1.0341894e7,4.702563e6,3.47150062e8,4.358553e6,1.2080129e7,4.386528e6,1.3032056e7,1.5700613e7,2.093204e6,4.852489e6,1.485024e6,4.88437e6,4.88437e6,607307.0,607307.0,607307.0,794495.0,794495.0,794495.0,3.217376e7,3.9543266e7,4.3433554e7,4.8588111e7,0.0,0.0,0.0,4.755065e6,NaN,7.641687e6,1.4696439e7,1.5418184e7,7.243748e6,5.166087e6,3.792149e6,2.8880967e7,2.921582e7,2.8737832e7,2.9282669e7,2.7119776e7,3.72333988e9,3.907517953e9,4.189353615e9,4.535974492e9,4.969949986e9,6.033585532e9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Interest received,297595.0,298569.0,350693.0,330628.0,285175.0,365462.0,462737.0,379446.0,375213.0,438465.0,642695.0,549110.0,522115.0,704284.0,704284.0,669421.0,670085.0,1.050393e6,1.050393e6,313435.0,313435.0,245469.0,1.354209e6,2.984122e6,324342.0,1.721061e6,375018.0,472683.0,4.51504824e8,-4.672407e6,4.98864696e8,2.205962e6,153411.0,2.757717e6,2.757717e6,2.757717e6,3.110927e6,3.110927e6,3.110927e6,1.008061e6,1.349118e6,1.450259e6,1.65233e6,1.58473908e8,1.86718062e8,2.1331933e8,2.49078475e8,NaN,2.76077369e8,5.729452e6,7.038187e6,6.355539e6,6.975196e6,1.2286674e7,926728.0,1.624693e6,1.072088e6,1.21678e6,1.835768e6,2.750744e6,2.296517e6,3.592398e6,4.21459e6,3.702196e6,7.01427e6,2.8007006e7,3.1965345e7,3.4674881e7,3.7473251e7,4.1578697e7,4.1830868e7,3.813778e7,4.7106774e7,4.3005931e7,4.4378683e7,4.3121203e7,4.5506199e7,4.676929e7,4.521399e7,4.6591224e7,9.128988e6,4.8689237e7,5.1039607e7,4.12830233e8,4.58513595e8
Pensions and annuities in AGI,2.227669e6,2.599422e6,3.059632e6,3.224452e6,3.353363e6,3.489096e6,3.659266e6,3.536292e6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,643938.0,643938.0,685688.0,1.296057e7,3.81067341e8,778203.0,4.11646226e8,744407.0,1.190542e6,2.245862e6,4.98864696e8,2.328179e6,5.31883892e8,5.31883892e8,475571.0,479872.0,319257.0,602042.0,602042.0,9.564891e6,6.87179075e8,7.58628836e8,7.95399462e8,8.80998631e8,2.1359425e7,2.4274158e7,2.4241425e7,2.5638164e7,2.82302029e8,2.7365915e7,543131.0,618168.0,9.594182e6,3.5548038e7,3.2813666e7,4.11842025e8,4.32109004e8,4.46296392e8,4.47216167e8,4.74881734e8,3.6624273e7,3.9103321e7,7.866919e6,8.229479e6,1.01395e7,1.8745144e7,7.48010125e8,8.31975834e8,9.34835345e8,1.023916399e9,1.115759794e9,1.031580708e9,8.65948271e8,2.3984536e7,2.4164276e7,2.3717305e7,2.514078e7,2.4571978e7,2.7497651e7,2.9172377e7,3.0388415e7,NaN,3.4679155e7,3.4751183e7,5.899376e6,5.757408e6
"Rents and royalties, net income",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0597223e7,2.366189e7,2.2525946e7,2.2889976e7,2.4322663e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.6782128e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00918463e8,1.07373738e8,1.12029507e8,1.09117232e8,1.28704285e8,5.00735016e8,5.32644247e8,5.86128456e8,6.5542046e8,7.27303171e8,7.96980307e8,6.470712e6,7.262338e6,7.97927e6,8.120381e6,8.759334e6,8.779355e6,8.821395e6,1.44553116e8,1.6908352e8,1.8907293e8,1.89041342e8,1.9618676e8,1.97513363e8,1.8580502e8,2.13363983e8,2.1998211e7,2.12144847e8,2.2412991e8,6.2702551e7,6.2607506e7
"Rents and royalties, net loss",1.6380569e7,1.8048769e7,1.5629546e7,1.6863434e7,1.8162541e7,1.8194993e7,1.8677699e7,1.9234612e7,96750.0,72560.0,90161.0,75319.0,86657.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.51504824e8,5.340067e6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7329507e7,8.1309036e7,8.0168536e7,7.7284499e7,7.792572e7,1.76342644e8,1.8720868e8,1.9180962e8,2.00029514e8,2.10585238e8,2.5687874e8,8.138821e6,1.0473327e7,1.2843235e7,1.4020711e7,1.5112589e7,1.2952759e7,1.1898098e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2919323e7,2.449204e6,0.0,1.41160696e8,1.43657097e8
"Estates and trusts, net income less loss",101134.0,111178.0,106492.0,103188.0,88903.0,116596.0,62885.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2163922e7,4.3881702e7,4.4861623e7,5.0328842e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Other income (net),250785.0,262691.0,312771.0,328273.0,0.0,0.0,0.0,2.308809e6,2.16722e6,2.377244e6,2.186579e6,2.216398e6,2.89151e6,2.308657e6,2.887155e6,91897.0,2.76482e6,1.06307e6,2.925775e6,2.2757404e7,727168.0,79601.0,2.449982e6,324342.0,1.050652e6,375018.0,1.071911e6,3.1272666e7,1.885387e7,389789.0,6.918126e6,616332.0,3.3542837e7,67584.0,67584.0,3.5323956e7,83303.0,83303.0,3.140246e6,7.214326e6,8.016946e6,8.053918e6,9.09775e6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
