Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Other investments,0.436198,0.578679,NaN,NaN,0.785981,NaN,0.74972,0.698325,NaN,NaN,1.206361,NaN,NaN,NaN,1.786577,NaN,2.145223,NaN,2.460625,2.621055,2.995114,4.096219,4.747678,6.870387,10.388137,12.71401,12.977817,16.127275,26.990394,35.693093,44.53803,50.940102,55.39311,57.142224,61.957608,68.468767,77.117325,86.645889,110.80104,138.315334,172.515967,198.082689,203.446346,210.013476,233.111386,270.141708,301.873383,347.780222,389.316933,400.304089,403.537231,418.335505,443.717902,460.979414,490.204227,508.985141,524.30839,563.375108,587.955436,594.076876,635.972513,688.051636,785.92057,775.727651
    Depreciable assets,3.068853,3.838067,NaN,5.472171,6.562791,NaN,8.866356,9.654397,11.290929,11.903847,14.331317,15.728239,16.409353,18.551138,21.852725,24.876085,26.337088,29.869265,33.911811,37.179238,42.071144,45.22854,48.765585,56.502614,71.147184,89.765238,102.012992,122.518645,208.872909,280.53893,339.887356,375.466545,408.760382,438.89126,474.70015,513.984915,563.246129,609.792456,675.135086,722.105243,795.141317,859.18003,922.989084,987.32825,1047.549003,1124.308124,1215.978542,1317.38649,1406.196221,1492.868844,1523.306224,1557.438405,1596.511205,1666.878365,1739.603435,1835.69344,1936.01756,2013.671368,2101.334799,2158.810888,2222.869973,2276.104284,2390.154623,2527.468598
    Depletable assets,0.045221,0.061252,NaN,NaN,0.068448,NaN,0.082158,0.105575,NaN,NaN,0.09502,NaN,NaN,NaN,0.199695,NaN,0.201175,NaN,0.263514,0.288176,0.278615,0.365648,0.45877,0.440132,0.982318,1.273344,1.113535,1.491281,1.888051,1.850701,2.281254,3.013215,3.725868,3.653726,4.887851,4.798107,5.236309,5.073122,6.747225,8.308169,8.637126,9.173664,9.620125,9.712077,11.468377,11.780383,12.016718,18.290929,14.679903,16.525111,17.78292,18.222442,18.570019,19.535527,20.169612,21.564735,21.370915,19.757241,21.146397,24.026235,32.350999,32.949366,NaN,40.080743
    Land,0.329455,0.510132,NaN,NaN,0.905222,NaN,1.345557,1.519733,NaN,NaN,2.335598,NaN,NaN,NaN,3.89778,NaN,4.608085,NaN,5.599193,5.63443,6.053671,6.10264,6.471,7.172755,8.604053,11.543657,13.960829,16.876824,22.240158,31.720753,37.471594,40.130958,41.988157,43.866647,45.611048,48.706373,51.115383,54.558253,58.990322,61.626219,66.12925,70.894312,75.301985,80.307527,83.644422,93.136033,101.057179,111.098695,121.808151,126.12567,129.332605,128.93834,127.391326,131.221735,129.591892,135.00581,138.031458,145.361786,151.305865,155.02306,158.740255,161.910829,165.928981,172.204707
    Intangible assets (amortizable),0.025258,0.020192,NaN,NaN,0.034804,NaN,0.063529,0.061743,NaN,NaN,0.128385,NaN,NaN,NaN,0.30115,NaN,0.493529,NaN,0.799475,1.033666,0.828522,1.121756,1.513912,1.773196,2.187633,3.257575,3.923751,5.742917,9.66772,13.571413,18.057999,21.691825,22.774439,24.333483,25.352632,28.326745,28.699312,31.78393,36.243477,41.568278,48.343302,55.173523,63.539512,68.338766,76.599915,85.138077,95.106206,107.08647,120.957233,133.66022,136.17125,145.321103,152.967498,158.65249,161.473494,176.082709,185.477288,194.941351,205.10579,213.864037,222.817045,229.364326,248.12334,275.036721
    Other assets,0.302465,0.412531,NaN,NaN,0.588771,NaN,0.582205,0.689983,NaN,NaN,1.249481,NaN,NaN,NaN,1.845715,NaN,1.879234,NaN,2.181366,2.909621,2.842377,3.043159,3.976273,4.215982,5.437715,7.403219,8.405448,10.403598,16.743387,21.594333,24.869525,23.242537,22.662243,23.858606,22.438133,23.677638,24.277056,24.928425,26.558032,29.613571,33.38086,36.048139,37.488517,38.38451,47.410729,49.263477,58.226956,66.605308,78.870873,88.295761,93.005222,96.253766,99.343936,80.156349,77.888872,95.925655,100.57904,108.267124,117.614966,111.881132,126.351036,128.769301,151.929244,295.856897
    Less:  Allowance for bad debts,0.034865,0.044909,NaN,NaN,0.062269,NaN,0.06394,0.085301,NaN,NaN,0.105883,NaN,NaN,NaN,0.154624,NaN,0.170626,NaN,0.180556,0.220432,0.201132,0.196845,0.259158,0.294193,0.377086,0.500594,0.639997,0.752344,1.371508,1.623295,1.751707,2.516239,2.356077,2.584173,2.574196,2.62663,2.861534,3.187686,3.765625,4.007036,4.643099,5.418069,6.307571,7.303954,7.720589,8.390142,9.085092,10.16902,11.234884,12.603977,13.583698,14.07276,14.756302,14.820309,14.445251,14.432616,15.092867,16.062487,16.767283,15.082285,17.611279,17.976517,18.972129,37.848808
    Less:  Accumulated depreciation,1.433515,1.737494,NaN,2.541538,3.018723,NaN,4.223385,4.432584,5.208268,5.551578,6.693148,7.404622,7.780588,8.56759,9.573871,11.050437,11.871173,13.457581,14.908451,15.764595,17.301813,19.670455,21.735815,26.427554,33.918428,41.73824,48.208658,58.606792,106.634188,140.193786,169.086616,186.86703,208.82456,228.414154,249.794516,272.929061,298.317297,324.297994,356.513009,382.004924,422.362995,455.714503,500.147999,550.922789,598.747039,650.868503,698.236429,744.603736,794.067943,862.968368,910.338826,955.249741,999.346301,1048.855918,1096.145753,1156.007214,1218.938924,1271.478323,1335.726905,1375.855932,1429.208596,1478.735165,1558.913574,1639.412271
    Less:  Accumulated depletion,0.011864,0.016842,NaN,NaN,0.02332,NaN,0.022727,0.05213,NaN,NaN,0.023039,NaN,NaN,NaN,0.028719,NaN,0.041835,NaN,0.061971,0.068999,0.034141,0.092949,0.127737,0.105149,0.26446,0.34503,0.398428,0.598849,0.715112,0.652777,0.753463,0.901023,1.535732,1.317919,1.971604,2.098057,2.28392,2.175755,2.63557,3.135255,3.121468,3.32505,3.343431,3.301922,3.975325,3.690074,4.261277,6.362598,5.215836,5.846137,6.44044,6.805905,6.989654,7.516934,7.597048,8.751261,10.580949,10.256493,10.792243,11.076314,17.603477,18.414386,19.240294,20.633973
    Less:  Accumulated amortization,0.005255,0.006901,NaN,NaN,0.015312,NaN,0.025062,0.028692,NaN,NaN,0.052172,NaN,NaN,NaN,0.094409,NaN,0.210723,NaN,0.362614,0.457856,0.308307,0.498008,0.65083,0.670538,0.856708,1.071326,1.398745,1.790855,3.309249,4.742169,6.225086,8.1415,9.11884,11.244952,12.146258,13.319762,12.37498,13.012435,12.970868,13.621076,15.62579,17.279673,20.906453,23.549068,25.923589,28.827639,30.457766,34.527005,39.571883,42.01666,46.649857,51.727887,56.81975,59.70347,60.737903,68.112796,73.487579,78.659621,83.330638,86.654416,93.42118,99.863233,106.382935,112.550943
