Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Adjustments to shareholders' equity (1998-2000),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96353,2.111475,6.906299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Less:  Cost of treasury stock (1966-2019),NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.139197,NaN,NaN,0.323159,NaN,NaN,NaN,0.533388,NaN,0.63645,NaN,0.87427,0.908867,1.173947,1.207034,1.278735,1.823595,2.260826,2.803958,3.18392,3.704598,7.774206,9.627838,11.33101,12.424716,13.209589,13.582237,14.109546,14.998682,16.634278,17.492332,18.503239,21.356115,24.071998,27.745934,29.90096,31.326934,32.351735,36.838113,39.512093,44.517144,47.367387,54.625305,57.187104,62.218881,64.844773,68.939092,73.095799,82.628358,86.013038,90.272376,95.208453,97.249634,101.444933,104.805089,116.447029,117.625085
"    Addendum (L.1): Retained earnings, all  (1959-2019) [  =sum(l.36:l.42) ]",1.525249,1.457332,NaN,NaN,2.017811,NaN,2.883297,3.240506,NaN,NaN,5.399643,NaN,NaN,NaN,6.212573,NaN,5.935596,NaN,5.963983,5.948179,3.890634,1.498865,-0.827057,2.910653,6.614516,9.664426,13.019051,15.58459,75.873477,102.816168,111.61323,113.908215,108.505379,118.063424,131.159615,149.417844,160.217456,183.150065,220.056773,247.246382,278.777296,307.76338,322.489863,330.124061,341.420122,403.598772,461.630052,549.280983,586.516071,551.167819,535.447549,584.557316,642.978396,681.97259,692.477132,838.585325,877.75978,894.447082,1017.780083,1056.131609,1162.004122,1330.423964,1681.672859,1690.478989
"    Addendum (L.2): Retained Earnings, Unappropriated (1986-1989) [=sum(l46:l.50)]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.2.1): Retained Earnings unappropriated (reported) (1986-1989),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.58459,75.873477,102.816168,111.61323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (L.2.2): Shareholders undistributed taxable income, previously taxed (1986-89)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.980348,-2.016435,-1.211005,-0.792988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.2.3): Accumulated Adjustments Account (1986-89),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.331826,-1.047355,5.471845,5.22798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.2.4): Other Adjustments Account (1986-89),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.846485,1.26773,1.203366,1.117477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.2.5): Other Retained Earnings (1986-89),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.050279,77.669537,97.351962,106.060761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (L.3): Retained Earnings, Unappropriated (1959-65) [ =l.52+l.53  ]",1.473879,1.386391,NaN,NaN,1.950883,NaN,2.818963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (L.3.1): Earned Surplus and undivided profits, accumulated (1959-65)",1.262392,1.249119,NaN,NaN,1.393493,NaN,1.930867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.3.2): Shareholders undistributed Taxable income (1959-69),0.211487,0.137272,NaN,NaN,0.55739,NaN,0.888096,1.228615,NaN,NaN,1.892692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.4): MNB payable in less than 1 year to banks (1959-60),0.4183,0.52234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.5): MNB payable in less than 1 year to small business investment companies (1959-60),0.012493,0.009795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.6): MNB payable in less than 1 year to shareholders (1959-60),0.16912,0.256426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.7): MNB payable in less than 1 year to others (1959-60),0.276265,0.370911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.8): MNB payable in less than 1 year to not stated (1959-60),0.218364,0.277783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.9): MNB payable in more than 1 year to banks (1959-60),0.171817,0.267968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.10): MNB payable in more than 1 year to small business investment companies (1959-60),0.011017,0.016014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.11): MNB payable in more than 1 year to shareholders (1959-60),0.243169,0.345734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.12): MNB payable in more than 1 year to others (1959-60),0.335488,0.468322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (L.13): MNB payable in more than 1 year to not stated (1959-60),0.229785,0.358017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Total receipts [=sum(l.65:l.78)],19.199731,23.417799,26.175449,29.808701,35.083133,40.112212,46.442511,50.909933,56.752764,61.765015,73.260632,77.631396,79.788892,90.999639,110.890533,123.143669,128.016555,148.438448,164.317459,194.224117,212.706226,210.322424,212.51403,243.056569,300.248422,385.026843,430.641781,483.986301,972.246266,1263.988377,1463.966315,1620.702664,1682.984576,1821.882961,1997.596804,2210.945344,2405.073461,2618.094172,2895.237519,3061.133169,3300.868762,3617.477105,3761.51235,3910.926701,4232.565964,4737.162166,5252.513618,5815.389092,6092.467565,6126.386899,5392.866853,5684.431238,6230.405646,6572.866128,6890.396496,7379.538361,7504.357192,7690.011699,8116.169966,8388.959165,8573.074509,8294.847223,9717.273264,10689.519027
    Business receipts,18.858054,22.946017,25.59355,29.108623,34.245587,39.29201,45.433118,49.85841,55.742555,60.467277,71.472075,76.097159,78.081121,88.738155,108.259415,120.307229,125.333032,145.251251,160.329161,189.695182,208.205344,204.887368,206.357914,235.010755,290.764938,372.732439,416.041188,466.712837,951.305832,1236.906216,1434.527066,1588.070882,1655.481071,1790.83683,1967.936737,2173.454305,2366.453853,2571.988996,2840.623943,3004.118934,3242.797429,3557.650166,3691.120151,3841.281106,4152.365102,4645.69372,5147.016759,5699.803,5974.197102,6013.292245,5285.451212,5567.202247,6102.106924,6427.05709,6745.095028,7225.097382,7346.364503,7519.683357,7938.82266,8205.698998,8382.097814,8073.955963,9446.385693,10429.590929
    Other receipts,0.108272,0.205343,NaN,0.306362,0.42618,0.330654,0.395317,0.442184,0.414827,0.565707,0.659577,0.626166,NaN,0.825072,0.929495,NaN,1.210481,NaN,1.615399,1.900042,1.615722,2.052907,2.266868,3.191156,3.785256,5.544426,6.199652,7.477085,19.17693,23.958414,25.726997,28.680557,24.436054,26.818357,25.839491,33.036432,33.195945,39.697715,47.775727,48.95243,50.486109,52.665434,62.669409,61.32259,71.732316,76.996055,91.705442,100.071267,102.190433,98.909342,95.389555,102.590145,111.005817,124.835602,127.642343,132.999244,137.113391,149.845874,155.455167,156.400665,161.43259,186.814797,225.60234,220.490416
"    Net gain, noncapital assets",0.084158,0.10426,NaN,0.15144,0.140415,0.169187,0.211705,0.214994,0.175475,0.305879,0.426336,0.281094,NaN,0.560921,0.623635,NaN,0.331253,NaN,0.713226,0.828233,0.875002,1.054098,0.924154,0.959922,1.693497,1.99758,2.484454,2.891688,1.70794,2.990059,3.633705,3.273249,2.702228,3.759769,3.422795,3.98353,4.811274,5.687811,5.894594,7.072292,6.23448,5.825277,6.349825,7.086227,7.105203,13.146282,11.998752,13.581482,13.752231,11.956314,10.326749,12.826927,15.626705,18.863175,15.958585,19.728021,19.112715,18.754805,20.016536,24.772866,27.786412,31.630804,41.670165,37.513771
    Interest on SL Government Obligations (Tax Exempt) (1959-1983 & 1991-2019),0.003567,0.00069,NaN,0.001392,0.000948,NaN,0.000422,NaN,0.007187,0.002088,0.001501,0.004726,NaN,0.003548,0.004702,NaN,0.008778,NaN,0.013441,0.007062,0.006305,0.007696,0.015027,0.019014,0.006718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.365223,0.468006,0.397781,0.471077,0.612389,0.719651,0.943255,0.989514,1.350743,1.336228,1.372965,1.236779,1.363342,1.32611,1.792664,1.933344,2.327799,2.228997,1.699338,1.811919,1.6662,2.110262,1.700541,1.713715,1.766583,1.727663,1.875604,2.086636,1.757693,2.445659,3.615066,1.923911
    Nonqualifying interest and dividends (1983-1986),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.044206,2.744626,3.122184,3.431878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Interest (1982),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.663502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Interest on Government Obligations (1966),NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Interest on US Government Obligations (1959-1981),0.001607,0.002338,NaN,0.001373,0.004266,0.004238,0.004442,NaN,0.010678,0.00873,0.014958,0.012745,NaN,0.00824,0.008778,NaN,0.016332,NaN,0.064234,0.033283,0.039454,0.047239,0.071622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Other Interest (1959-1981),0.018195,0.024367,NaN,0.03327,0.038604,0.046527,0.064133,0.064927,0.085134,0.090915,0.160373,0.150246,NaN,0.210124,0.297331,NaN,0.336194,NaN,0.471571,0.51313,0.655312,0.83164,1.049504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Rents (1959-1986),0.037155,0.043064,NaN,0.071985,0.072423,0.104795,0.111198,0.149065,0.133927,0.155204,0.193215,0.21584,NaN,0.25055,0.323354,NaN,0.393281,NaN,0.483866,0.507816,0.489434,0.558964,0.804822,0.983915,1.402399,1.675383,2.288906,2.779168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Royalties (1959-1986),0.001075,0.001539,NaN,0.001246,0.006984,0.008026,0.007731,0.00843,0.016647,0.013409,0.01715,0.005066,NaN,0.019001,0.013372,NaN,0.039567,NaN,0.076442,0.074848,0.038348,0.049498,0.078662,0.096255,0.259826,0.332388,0.355294,0.317683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    NSTCG-NLTCL (1959-1983),0.001762,0.00503,NaN,0.00356,0.003849,0.00248,0.004007,0.004267,0.00675,0.005253,0.005955,0.00649,NaN,0.007553,0.015887,NaN,0.008995,NaN,0.02312,0.028177,0.038503,0.047374,0.052065,0.060522,0.029344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    NLTCG-NSTCL (1959-1990),0.082531,0.081778,NaN,0.124071,0.139629,0.148174,0.201553,0.151473,0.152021,0.137525,0.298918,0.220589,0.232393,0.365544,0.402052,0.428761,0.320318,0.386708,0.504854,0.610019,0.721842,0.751147,0.847839,0.973899,0.262239,NaN,0.150102,0.375963,0.055563,0.133688,0.078547,0.405608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Dividends (1959-1982)  (=l.80 + l.81 when available, else as reported)",0.003355,0.003373,NaN,0.005202,0.004248,0.006121,0.008885,0.007316,0.007563,0.013028,0.010574,0.011275,NaN,0.010931,0.012512,NaN,0.018324,NaN,0.022145,0.026326,0.020961,0.034492,0.045554,0.09763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.1): Total Receipts (1991+ DEFINITION),19.054051,23.25631,NaN,29.567817,34.81313,39.791851,46.040562,50.515588,56.340044,61.340951,72.559489,77.009145,78.081121,90.127696,109.817247,120.307229,126.883544,145.251251,162.671227,192.430519,210.702373,208.002069,209.563963,239.180847,296.250409,380.274445,424.725294,477.08161,972.190702,1263.854689,1463.887768,1620.024688,1682.984576,1821.882962,1997.596804,2210.945344,2405.073461,2618.094173,2895.237519,3061.13317,3300.868761,3617.477105,3761.51235,3910.926702,4232.565963,4737.162167,5252.513617,5815.389093,6092.467565,6126.386898,5392.866854,5684.431238,6230.405646,6572.866129,6890.396497,7379.538362,7504.357192,7690.011699,8116.169967,8388.959165,8573.074509,NaN,NaN,NaN
    Addendum (R.2): Dividends Received from Domestic Corps (1968-1982),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0086,0.010063,0.01065,NaN,0.010472,0.012234,NaN,0.018096,NaN,0.021729,0.025647,0.020583,0.032309,0.042133,0.090857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.3): Dividends Received from Foreign Corps (1968-1982),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004428,0.000511,0.000625,NaN,0.000459,0.000278,NaN,0.000228,NaN,0.000416,0.000679,0.000378,0.002183,0.003421,0.006773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.4): Taxable interest on US GO (issued on or after 3/1/41) (1959-60),0.001468,0.002217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.5): Taxable Interst on US GO (Issues before 3/1/41) (1959-60),0.000139,0.000121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.6): Nontaxable interest on GO (1959-60) (Assigned S+L),0.003567,0.00069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (R.7): Interest on Government Obligations, Total (1966-1968)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008867,0.017865,0.010818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (R.8): Tax Exempt Interest (1982-83) ( Assigned S+L),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019014,0.006718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
