Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
      U.S. Government obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006918292715206193,0.006959832536006246,0.005487832065015406,0.007980033856458058,0.005905827927069332,0.006991332225624734,0.009725116326896065,0.01056531705318556,0.008227659728224146,0.007106397922846581,0.014773265441489922,0.010469220726888233,0.004561384111133902,0.006082899545853239,0.005356234130061844,0.005055233065445012,0.005379609814077821,0.007991770200696526,0.010149710869551853,0.008655253106674204,0.010458984231267563,0.011920516280022666,0.010437687562760346,0.009931764676083298,0.007557169467820722,0.008077009555960189,0.00703536341999445,0.006396788209589652,0.004484986663405754,0.0055943955075959005,0.00608935335583079,0.003393894954651794
      Federal and State Government Obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002609985642912224,0.0027910978839261343,0.0037305557269789224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Tax-exempt securities,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00035042842607921896,0.0006211860723135313,0.0008490601609677226,0.0009971067401987662,0.0027296452505548175,0.0026934734925560255,0.002615710935005849,0.002608835962097439,0.002717206494347105,0.003103079428835427,0.0024034827744743837,0.0025639286965737427,0.0031655087649898237,0.004337750894217534,0.004089114079841486,0.004442113967885921,0.0034582634958272352,0.00326392154424464,0.0036522231099302845,0.0060087293300370714,0.0035298826839245873,0.0024320195048551825,0.0030083177069965047,0.003469988132130181,0.0028583474377191966,0.002576338224973021,0.0020108725221875965,0.0023798307389138146,0.0021589635318029652,0.0020095746059015955,0.0015625666261002446,0.001998353986551101,0.0016640445391474079,0.000992092110825361
Government obligations: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012794967026926639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       United States and instrumentalities,NaN,NaN,NaN,0.0025404144158931857,NaN,0.0047041525464362076,0.007590797872556041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       State and local,NaN,NaN,NaN,0.0004995486050130146,NaN,0.0004711320834618051,0.0008199720552372108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Other current assets,NaN,NaN,NaN,0.0063342104670056415,NaN,0.016300358694393006,0.01683287179677466,0.01450070384225799,NaN,NaN,NaN,NaN,NaN,0.01852211006795077,0.020969412646811708,0.0197060817246741,0.022528392958315747,0.023157592863057328,0.028621549366273587,0.02879477445220657,0.033843264353318414,0.04128188376194488,0.0493179180959789,0.07704142056493031,0.08576195752707978,0.08149072222755506,0.11902371580833702,0.12391756317166963,0.13448849888054326,0.16600090487211633,0.22682778517726207,0.21408088069826658,0.2516888858597502,0.21269435868798234,0.1762648247863475,0.1475131026566534,0.15272070199667534,0.13583940194303298,0.14137019384819915,0.1400079291745669,0.1373037110811418,0.14228414521247718,0.1408498416436953,0.1382396077344311,0.1296625152240146,0.15165671936663663,0.15400854025254107,0.15132152930763051
        Loans to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003173152205435324,0.0042755260407149765,0.004373326008195284,0.0053876514938717545,0.006290964988885772,0.007293143924675429,0.007505644728953582,0.006292927761874268,0.004712685832327993,0.00807684160970796,0.008302483536274777,0.00879162159147704
      Mortgage and real estate loans,NaN,NaN,NaN,0.0048807891991789415,NaN,0.008219332399353657,0.009033726416344538,0.009611149507340325,NaN,NaN,NaN,NaN,NaN,0.011728139815653313,0.009026095171919922,0.007675469685119125,0.0064583434351570095,0.005899095091396489,0.005457344902916196,0.005256609776326717,0.004893077900857737,0.0050736758344541305,0.004994715275407249,0.005658994328143225,0.004976185141330671,0.005890398764914712,0.006726862748748361,0.007065573969989134,0.009238919211448572,0.008771257987512028,0.012718519322930699,0.012003784349889541,0.008802209140273319,0.0073891774344269434,0.005643270817851582,0.0066698964334505,0.00609628319255741,0.0055328228734272305,0.00497723326716105,0.005060064897265117,0.005351259924900871,0.005874775224963816,0.005881162304785076,0.006413789818186184,0.005842286312031273,0.007913509300766619,0.008460083087309112,0.006567026515917679
      Other investments,NaN,NaN,NaN,0.013527959911532536,NaN,0.02000321911506184,0.01817093825741548,0.020970443111093435,NaN,NaN,NaN,NaN,NaN,0.028814757856390164,0.03362484499023323,0.033414395828777574,0.045516442737721145,0.05029688879100695,0.06527722164378844,0.07103534261824374,0.09762588509125103,0.1267239979774863,0.16009420286813766,0.17456752067265618,0.20515420511646973,0.2219619901644257,0.27255939942518986,0.27169100909241634,0.30357192516006265,0.3532765998842942,0.5384705513690758,0.50821044598697,0.6144076705161754,0.4822910428005353,0.5576490194443775,0.6018723495446965,0.5993514159730436,0.6471008298895593,0.7091234082175466,0.7468725400153043,0.7500962343356954,0.7610696582855767,0.8519931537680153,0.8669203727288765,0.9278562050330404,1.1239099467277178,1.2447018435536736,1.1460270771618417
