Tax Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
   Legal and professional services,6.330311,6.551619,6.669029,6.818392,7.312694,7.482619,8.36593,8.284557,8.95914,9.83687,10.09291,10.934377,11.108794,10.265039,10.159946,10.884148,10.848073,11.574507,12.058746,12.846985,13.068456,14.720479,14.945415,15.986785,15.692101,17.57761,20.140479
   Meals deducted,3.519959,3.570473,3.79635,4.031523,4.664694,4.735312,5.088083,5.524213,5.997824,6.802217,7.306309,7.66149,7.335934,7.500635,7.99661,8.413751,8.806864,9.511772,9.539241,9.913823,10.450719,11.324283,11.343749,12.108075,10.220269,15.136746,18.555794
   Mortgage interest,4.475403,4.533657,4.882248,4.736127,5.250896,5.456226,5.006864,4.762929,5.167373,5.543658,6.297485,6.648973,6.481051,5.361051,4.928496,4.430249,3.621187,3.426685,3.190308,3.253641,3.153261,3.137012,3.547847,4.005966,3.514348,3.5572,4.265423
   Other interest paid on business indebtedness,6.091207,6.350002,6.277153,6.488361,6.98195,7.053321,6.432675,5.818316,5.856393,6.565852,7.214467,8.368192,8.181013,7.176096,6.209483,5.925935,5.736292,5.579335,5.627377,5.93474,5.721692,6.536368,6.987896,7.719063,6.937259,7.111196,8.642467
   Office expenses,8.823978,9.209728,9.611633,9.921297,10.456415,10.604805,11.331733,11.849079,12.362672,12.835599,13.024662,13.297287,12.827294,11.719891,11.677483,11.594858,11.998038,12.349552,12.776506,12.944789,13.432643,14.816757,14.775395,16.271503,16.678703,19.277866,21.035021
   Pension and profit-sharing plans,0.706964,0.728349,0.756924,0.870362,0.892873,0.991892,1.085247,1.182019,1.202228,1.251915,1.276851,1.279748,1.235347,1.176054,1.044529,1.056535,1.283513,1.121911,1.108488,1.145891,1.158099,1.189728,1.245088,1.304269,1.308006,1.444601,1.782978
   Rent paid on machinery and equipment,6.926867,7.358163,7.54539,8.227,8.880267,8.522008,8.543257,8.470304,8.728363,9.135688,9.350344,9.526481,9.439007,7.928936,8.185143,8.48136,8.754711,9.253919,10.090787,10.601311,10.308934,10.880684,11.452287,12.360602,11.599028,13.440301,15.647076
   Rent paid on other business property,21.58937,21.967711,22.91463,23.190502,24.342191,25.119124,26.311497,27.201706,28.139206,30.349041,31.229159,33.613237,34.074935,33.135314,33.365462,34.730269,34.370947,36.083398,36.746526,37.57023,37.543375,40.184934,42.320734,43.892649,40.382893,44.567623,49.65622
   Repairs,10.715,10.897367,11.349751,11.697341,12.280525,12.129756,12.669141,13.22122,14.762464,14.976142,15.72604,16.170712,15.463698,14.357885,14.897494,15.806852,16.783463,17.767505,18.49464,18.746938,18.437815,20.953394,21.899636,22.559791,23.765269,28.340482,32.130673
   Supplies,18.777077,19.546451,19.72544,21.654319,21.793962,23.074836,24.615763,25.507159,27.302886,28.858613,32.136896,32.32546,31.831493,29.829618,29.723525,32.160286,33.525328,35.105176,36.662747,38.460573,39.079658,44.468656,46.931296,50.909973,54.702358,65.018375,75.868997
   Salaries and wages,56.322078,57.746206,58.864773,61.20443,63.48554,63.82602,66.067965,67.640849,71.068517,75.091154,77.038713,79.380311,79.148496,75.012744,73.719193,77.937316,79.758101,83.238854,86.743036,89.416413,90.936052,97.282322,97.885484,101.334064,99.625841,109.460266,120.883298
   Taxes paid,13.736129,13.774081,13.730731,14.000359,13.955919,14.214082,14.901431,15.179639,16.036234,16.797524,17.66003,18.183185,18.06656,16.905702,17.697675,17.70479,18.173143,18.85019,19.358414,19.812028,19.600445,20.968702,21.076953,21.512985,20.230555,23.369551,25.331426
   Travel,7.178971,7.452594,7.624311,8.089635,8.457317,8.657266,9.110193,9.313708,10.317557,11.308328,11.861197,13.134026,12.740944,11.3046,11.795013,12.622816,13.470815,14.201702,15.344213,16.588826,16.573132,17.979913,19.045842,20.393318,12.637214,16.947268,23.676752
   Utilities,18.1616,18.575129,18.4314,18.46617,19.381881,20.48268,20.674727,21.661093,21.477462,22.910257,23.842787,24.856179,24.674687,23.693004,24.416249,26.906033,27.9816,31.150366,31.640478,31.482198,31.602681,33.170088,34.220865,36.52072,36.412843,38.098799,41.645219
   Other business expenses,61.82859,67.336466,72.68351,77.357286,87.025949,94.612276,96.80375,89.092512,98.293189,101.044695,110.762743,119.516105,118.421657,110.168253,103.571918,104.253244,109.212407,110.118382,113.958175,119.845961,118.666292,136.259013,149.689186,153.143136,150.982801,174.084529,202.412671
"   Home office business deductions, total",3.768966,3.817539,4.138364,4.785849,5.642543,5.981403,6.474145,7.047483,7.807037,8.801078,10.119539,11.217628,11.504196,10.868501,10.419851,10.004852,10.038903,9.593469,9.469875,9.817446,9.853478,10.67176,10.568338,11.24058,11.150322,12.813156,13.548879
"      Depreciation, Form 8829",0.517969,0.4366,0.645099,0.554317,0.625628,0.684504,0.691574,0.858891,1.093415,1.26019,1.639685,1.439137,1.476008,1.370728,1.390491,1.345357,1.336883,1.266296,1.2348,1.228229,,,,,,,
"      Casualty loss, Form 8829",,,,,,,,0.022675,0.038187,0.024248,0.256377,0.09967,0.069203,0.308339,0.0,1.0e-6,0.0,0.027585,0.005416,0.018401,,,,,,,
"      Carryover of excess casualty losses and depreciation, Form 8829",,,,,,,,0.567371,0.679264,1.222508,1.104694,1.235717,1.334666,1.52937,0.012146,0.007796,0.01254,1.78031,1.583311,1.521839,,,,,,,
Net income less deficit,176.755693,186.64391,202.27472,207.946977,214.715298,217.385116,221.113286,230.3081,247.567189,269.919995,278.032643,280.55701,264.508362,244.821815,267.699702,282.649926,304.895911,302.269621,317.058087,331.832538,328.209453,346.241776,348.509654,355.177264,337.201262,411.308783,410.664065
   Net income,200.123896,210.464545,226.18957,233.404991,245.230626,250.178322,257.292855,269.089168,290.486159,314.75651,326.769239,335.098968,325.265465,308.888096,323.215331,336.999662,357.074821,357.417038,374.540376,392.114132,389.138987,415.788805,429.990931,443.31137,436.416303,516.85753,543.908664
   Deficit,23.368202,23.820635,23.91485,25.458013,30.515328,32.793206,36.179568,38.781068,42.91897,44.836514,-48.736596,-54.541958,-60.757103,64.066281,55.515628,54.349737,52.17891,55.147417,57.482289,60.281594,60.929533,69.547029,81.481276,88.134106,99.215041,105.548747,133.244599
Qualified business deduction,,,,,,,,,,,,,,,,,,,,,,,64.790476,68.069077,71.028914,86.996491,92.081346
