Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
      Federal and State Government Obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.667028,15.746202,22.245841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Tax-exempt securities,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.97697,3.704222,5.228622,6.501462,18.721433,19.627977,19.983375,21.061451,23.30698,28.122641,23.148356,26.28271,33.497189,47.407748,46.846731,54.270177,45.092979,45.092979,52.86311,88.748103,51.105878,36.599391,46.92895,56.401083,48.250857,45.364519,36.788951,44.75251,42.341813,41.51081,33.657657,42.715378,39.48053,25.848577
Government obligations: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.78367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       United States and instrumentalities,NaN,NaN,NaN,5.974036,NaN,13.441208,24.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       State and local,NaN,NaN,NaN,1.174738,NaN,1.346169,2.629684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Other current assets,NaN,NaN,NaN,14.895523,NaN,46.575129,53.98371,48.487294,NaN,NaN,NaN,NaN,NaN,96.989881,118.300619,117.510203,138.73275,150.995078,196.302585,209.834317,258.554045,333.273684,423.027007,698.212296,825.988164,835.357482,1259.50051,1354.308431,1540.760763,2028.065591,2957.652176,2957.652176,3643.002319,3141.466326,2551.973943,2219.920404,2382.402022,2207.929564,2386.425428,2465.278938,2511.974003,2675.640972,2762.361461,2855.548669,2792.928244,3241.704992,3653.951953,3942.624036
        Loans to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.500324,69.494272,73.82473,94.866511,115.093324,137.146937,147.20147,129.989963,101.511168,172.644759,196.981777,229.062307
      Mortgage and real estate loans,NaN,NaN,NaN,11.477659,NaN,23.485156,28.971531,32.137656,NaN,NaN,NaN,NaN,NaN,61.413677,50.921438,45.769931,39.771312,38.464029,37.429522,38.306156,37.381887,40.960404,42.84243,51.28643,47.926495,60.382195,71.183184,77.220421,105.845216,107.160178,165.839279,165.839279,127.405182,109.137131,81.703653,100.375078,95.100384,89.930337,84.019097,89.098321,97.901402,110.474637,115.341955,132.486552,125.842742,169.153485,200.720928,171.101341
      Other investments,NaN,NaN,NaN,31.812337,NaN,57.155338,58.274944,70.120737,NaN,NaN,NaN,NaN,NaN,150.886693,189.697253,199.254854,280.296126,327.952162,447.707676,517.651306,745.837258,1023.058296,1373.21635,1582.073494,1975.875436,2275.321707,2884.204213,2969.340381,3477.856582,4316.049463,7021.223598,7021.223598,8893.076708,7123.372146,8073.679866,9057.559534,9349.721463,10517.957476,11970.487462,13151.034753,13723.024859,14311.848711,16709.376635,17907.55455,19986.005955,24023.89093,29531.354071,29859.293129
      Buildings and other depreciable assets,NaN,NaN,NaN,219.149769,NaN,330.11006,367.270152,430.664015,NaN,NaN,NaN,NaN,NaN,933.428499,1002.296389,1032.723957,1075.230258,1109.597775,1140.428264,1181.632157,1270.121637,1376.611687,1544.813491,1750.871004,1960.773804,2189.662764,2417.039254,2659.69057,2761.437158,2948.3811,3572.315411,3572.315411,3990.833845,4526.448207,4554.850898,4775.573906,4983.712438,5313.571562,5636.702733,6060.241038,6513.921201,6997.287084,7617.420716,7944.08725,7835.528465,9127.954607,9633.716865,10369.875732
