Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Rents received,0.649343,NaN,NaN,0.914937,NaN,1.179617,12.211547,14.715048,16.435507,19.112866,22.011177,23.096566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Royalties ,0.279433,NaN,NaN,0.410315,NaN,0.722627,0.712667,1.217811,0.974573,1.139586,1.227808,1.278856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net profit,0.023349,NaN,NaN,0.030352,NaN,0.0197,1.918127,1.746014,1.696998,1.587326,1.856781,1.743021,6.501873,2.558984,2.452962,2.234751,2.796101,2.561945,2.594695,2.534196,2.532276,2.967005,3.245297,2.857055,3.510762,2.758099,3.08033,2.892121,3.434024,3.545288,4.677412,4.91663,4.91663,7.466233,6.766782,5.889089,8.614611,10.839758,9.566052,11.103632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net gain, noncapital assets",0.359566,NaN,NaN,0.957426,NaN,1.101631,1.961662,1.284962,1.704228,2.892749,2.226999,3.333255,2.66919,5.656928,2.95631,3.882967,2.022921,2.048877,3.435093,3.002209,3.196462,4.593655,4.89494,6.478634,6.651584,7.16598,6.664457,6.980473,7.393459,10.414041,13.554033,15.157978,15.157978,17.695771,13.132365,21.931795,21.342803,28.016551,24.909006,26.841902,28.409855,29.404062,42.324714,49.562115,44.333012,61.406192,75.936595,74.895264
     Other income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.246375,28.357553,23.444922,22.056675,24.963762,29.581,32.431451,35.858494,58.811418,76.796751,83.928106,96.831086,112.555413,137.370907,125.630111,126.873441,140.151368,180.738118,234.537262,234.537262,237.339181,216.513485,212.13714,205.190886,230.274565,218.091214,234.489152,250.28054,241.565677,286.983731,301.542993,286.759719,371.84984,389.257218,429.796091
     Other receipts,1.680362,NaN,NaN,3.900968,NaN,5.535192,6.914777,8.881168,8.701692,11.329715,11.607558,13.989833,18.264316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total deductions,140.679959,NaN,NaN,204.7453,NaN,283.74946,274.86469,304.004833,293.928744,378.692535,376.000991,414.673405,423.498884,464.991155,475.433817,493.468105,490.432721,513.276112,554.77239,647.522965,753.845785,912.722215,1156.922964,1386.111725,1647.491152,2099.471504,2348.244173,2455.84817,2567.688119,2815.180739,3244.612319,3555.84967,3555.84967,4590.182624,3748.565614,4026.378206,4531.982601,4689.190348,5061.753548,5162.594042,4915.397618,4981.48047,5591.329131,6055.822095,5611.453035,6225.702711,7111.034417,8365.174008
      Cost of goods sold,64.672843,NaN,NaN,87.217203,NaN,113.885668,130.043609,144.595111,125.330745,180.857822,146.315315,164.167707,237.156859,252.590549,232.79757,242.448195,236.5005,248.626073,272.502902,335.144653,395.322385,486.257935,625.197285,737.235839,902.157018,1225.628897,1338.114656,1430.213629,1522.806503,1666.146493,1975.816361,2108.966781,2108.966781,2717.033028,2054.661677,2335.999179,2731.677851,2827.546739,3086.67798,3065.992261,2695.613646,2660.228603,3011.968907,3343.267462,2878.254035,3255.992777,3846.98534,4758.754037
"       Inventory, beginning of year",7.667585,NaN,NaN,NaN,NaN,13.255671,16.14113,25.307927,NaN,41.480731,25.442509,24.831895,28.36181,37.216939,41.302678,42.868069,43.65287,42.973268,46.659746,46.602083,54.702293,60.401434,70.441911,87.546927,95.687355,112.799938,128.324181,175.335232,142.614381,154.642984,183.499132,215.719281,215.719281,278.201115,270.959003,249.741778,250.076875,262.415671,267.727307,292.403115,291.139488,299.870537,329.035539,334.150156,317.773547,384.177586,364.654545,417.42163
       Purchases,42.608734,NaN,NaN,NaN,NaN,70.439607,92.136914,96.111197,NaN,100.358781,91.925923,100.010383,167.977884,173.024428,137.011049,140.521621,134.086152,150.034393,163.167689,210.803531,256.54696,321.340188,427.050241,461.144704,585.068938,797.038243,887.515286,903.5896,987.65215,1130.541265,1328.185749,1412.030108,1412.030108,1844.775281,1389.292787,1613.898628,1976.008984,2029.823293,2256.721854,2207.221054,1884.85695,1852.866663,2084.429237,2367.367406,1947.050485,2205.968929,2767.119019,3279.771433
       Cost of labor,4.585836,NaN,NaN,NaN,NaN,7.015547,5.835683,7.183865,NaN,7.826231,8.845106,9.789253,9.975053,11.535738,13.378307,13.924993,14.18825,14.826792,16.208644,18.528257,20.080458,22.890832,28.794257,33.411962,42.089216,46.714175,53.029403,58.736031,63.434283,67.48358,80.010457,91.460084,91.460084,113.546251,100.075751,105.454543,113.840087,127.120016,137.000237,148.468563,154.316206,157.223744,167.5702,180.398126,182.557305,202.50874,212.289664,258.584088
       Materials and supplies,3.321427,NaN,NaN,NaN,NaN,5.603874,6.161003,6.549014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       Additional inventory costs (Section 283A),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.265482,1.497345,2.327873,2.416391,2.480289,2.61343,3.107862,3.992791,4.54902,5.537922,7.603756,7.916276,8.870107,8.521473,10.498054,12.337529,13.314217,17.784635,21.841617,19.706569,19.706569,16.839442,14.70279,14.052892,12.638235,15.901153,15.959197,16.654461,16.899796,14.587234,17.628083,22.676595,21.000598,24.673427,23.791735,31.987328
       Other costs,14.641288,NaN,NaN,NaN,NaN,32.260929,32.435993,32.147879,NaN,70.638082,47.380973,57.000019,61.270873,65.539407,76.889047,83.210972,81.294468,81.737431,89.417903,103.941827,117.877969,142.196666,171.09399,242.604643,281.53083,386.508986,394.187103,418.483634,467.575762,480.674356,588.093699,626.794373,626.794373,744.413006,530.951167,606.159347,644.144846,666.736558,696.943112,703.725166,649.265349,659.88829,761.277666,802.742121,742.520136,821.966625,900.246099,1248.599863
"       Less:  inventory, end of year",8.152127,NaN,NaN,NaN,NaN,14.68996,22.667114,22.704771,NaN,39.446014,27.279196,27.463816,31.659239,41.105534,44.593538,45.271389,42.804203,46.261566,48.87807,50.754489,60.813341,69.912625,84.813771,99.669214,115.689924,129.428537,138.604738,142.329934,153.053073,186.762966,228.775948,259.131558,259.131558,284.783978,251.319822,253.308009,265.031176,274.449952,287.673727,302.480098,305.950278,324.207866,347.971819,364.066943,332.648035,383.302529,421.115723,477.610305
     Salaries and wages,12.489039,NaN,NaN,16.585456,NaN,22.336337,21.952655,23.204883,24.73378,28.522626,33.884204,36.304654,40.676362,47.098641,54.051875,56.025118,57.907843,61.761245,65.374814,70.069247,80.292538,94.181234,115.199593,142.910961,169.90501,201.350844,230.874139,237.882426,244.927745,268.806663,293.216548,331.851279,331.851279,403.229369,389.650325,405.359065,435.594782,462.76245,501.819254,541.453609,577.746711,606.59655,657.088598,700.374995,712.051408,774.967319,872.118799,991.848964
        Less: jobs credit,NaN,NaN,NaN,NaN,NaN,0.019815,0.091418,0.015583,0.01348,0.022515,0.016511,0.041169,2.785107,0.266027,0.281388,0.026244,0.017805,0.011129,0.015225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Guaranteed payments to partners,2.649186,NaN,NaN,3.50046,NaN,4.746253,5.212661,5.350678,5.838956,7.517503,7.694236,7.237781,7.212214,8.059223,9.748284,8.829449,9.849016,9.945449,10.398313,10.918683,12.353212,13.683193,15.528514,18.268692,21.102416,24.301557,26.76254,28.147265,28.472046,32.213217,36.71758,41.759375,41.759375,51.827098,48.003745,50.008233,53.519934,57.864841,61.787892,67.100175,67.146214,70.245218,73.904399,68.967435,68.845819,74.044266,81.086502,81.949505
     Rent paid,3.626571,NaN,NaN,5.154353,NaN,6.631627,4.985675,5.693874,6.224359,7.533299,8.53716,9.479021,8.983537,10.578657,12.018268,13.03465,13.692816,14.022168,14.949902,15.637877,17.331831,19.344223,23.466746,27.757094,31.042897,35.932443,42.276815,44.598862,46.442451,50.402698,55.895492,62.379198,62.379198,74.626236,73.739226,78.353244,80.604298,82.531969,89.13968,92.197088,101.279145,103.980661,113.482573,117.87584,120.623444,126.012953,133.725972,144.656655
     Interest paid,12.0971,NaN,NaN,16.022804,NaN,28.362386,19.586018,21.517044,22.364264,25.437588,28.674933,29.452297,19.953845,23.242437,32.747005,29.617935,27.973593,25.091279,27.0062,36.432301,42.775881,49.190487,59.519342,73.406067,74.428567,92.751748,97.278387,68.12769,64.619863,64.457049,103.453348,136.78883,136.78883,142.571532,94.11964,85.862393,81.231081,81.072973,78.054746,82.882319,85.496044,96.809736,111.008159,106.6645,113.739451,127.961963,113.144946,119.311133
     Taxes and licenses,5.770918,NaN,NaN,7.36487,NaN,9.553145,5.040336,5.288971,5.909545,6.673186,7.745756,7.866233,6.867461,7.993317,8.873071,9.339396,9.86308,10.30797,10.877982,11.545647,13.151513,14.738742,17.922755,23.813223,26.896235,31.145304,34.62654,36.416569,39.019475,42.114276,46.896065,52.973535,52.973535,63.01585,61.647989,63.288386,68.872988,73.198286,78.788525,83.391297,87.315881,89.132302,95.487385,99.163744,92.037674,104.769369,139.753058,161.264028
     Bad debts,0.255093,NaN,NaN,0.263583,NaN,0.392259,0.394458,0.55609,0.635769,0.657156,0.798293,1.085091,1.220161,1.397284,1.653786,3.486235,2.713892,2.857503,2.754734,2.535273,3.573119,5.188483,5.850425,7.347904,8.415571,9.820088,12.241864,14.176575,12.37438,12.770923,15.25678,12.298985,12.298985,32.219946,40.355747,32.607437,14.788745,24.97931,14.937166,15.027032,17.186398,19.099278,20.07439,21.144069,23.119196,27.741283,20.558885,24.453971
     Repairs and maintenance,2.202626,NaN,NaN,3.352299,NaN,4.910831,1.900379,1.950053,1.993665,2.302985,2.49802,2.53864,2.513846,2.785235,3.186556,3.490358,3.575463,3.846682,4.28221,4.436481,5.058545,5.941081,7.668494,8.53767,9.859621,11.302059,12.624866,13.535089,14.270433,15.51549,17.265523,19.365103,19.365103,22.463069,21.839212,23.503815,24.873513,27.219452,28.453808,30.564085,32.838705,34.121685,36.517655,38.873347,37.516476,39.758587,43.603236,49.025423
     Depreciation,10.108834,NaN,NaN,14.51976,NaN,21.57619,NaN,NaN,NaN,NaN,22.575913,25.446371,19.307397,19.799142,19.604615,19.43319,19.09065,19.773081,20.692214,21.811355,24.001617,28.607286,37.763139,42.579701,51.730335,58.912624,72.199421,82.897056,83.564737,90.230757,70.834176,78.611668,78.611668,129.739268,125.349711,130.060596,172.267579,136.84183,157.618397,167.928282,176.033137,187.450186,226.632473,260.659657,275.980068,277.447511,255.70593,271.099292
     Amortization,0.165755,NaN,NaN,0.222728,NaN,0.583353,0.93746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Depletion,0.392734,NaN,NaN,0.24653,NaN,0.370594,0.308866,0.465882,0.375404,0.277521,0.242097,0.311118,0.287787,0.314882,0.312229,0.363858,0.30549,0.317556,0.214262,0.291015,0.32391,0.371771,0.382488,0.322489,0.402119,0.410837,0.453832,0.504061,0.492467,0.695313,0.815433,0.810776,0.810776,1.089961,0.697852,1.13695,1.258518,1.302243,1.101106,0.901941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Retirement plans etc.,0.190127,NaN,NaN,0.260432,NaN,0.384956,0.358939,0.413489,0.452471,0.530116,0.703297,0.851939,0.744077,0.965832,1.292058,1.193245,1.341535,1.383748,1.572606,1.662421,1.923056,2.21252,2.452054,3.008573,3.555224,4.29315,5.478146,6.444065,7.742624,7.946658,8.41916,9.699587,9.699587,13.637545,13.554208,10.812565,13.559083,12.794565,12.795586,13.279878,13.475978,14.934684,16.858777,15.65135,15.179541,17.954041,17.352399,18.910159
     Employee benefit programs,0.285391,NaN,NaN,0.458999,NaN,0.716304,0.514505,0.60222,0.600203,0.871296,1.019335,1.187781,1.267221,1.747787,2.329891,2.642264,3.049236,3.329192,3.599819,3.786552,4.313373,4.967162,6.073311,7.813657,9.32389,11.1523,14.413073,16.654928,17.864037,19.17824,20.050163,22.870238,22.870238,29.95847,27.788656,28.667946,30.139909,32.453375,34.742052,43.493002,41.003456,45.534595,48.486237,49.852988,49.173328,55.395264,59.114442,64.598187
     Ordinary loss from other partnerships and fiduciaries,1.150079,NaN,NaN,1.961174,NaN,4.702654,6.987649,8.767376,9.224949,10.021495,13.227029,15.076648,5.51141,5.798786,7.041412,8.561592,7.312918,7.061442,6.001422,6.976737,7.094207,12.115195,16.203396,19.690053,21.572769,25.053841,35.526353,26.854498,24.091002,26.003075,23.744327,31.265506,31.265506,107.174089,88.537709,64.605827,65.704048,56.962081,61.115616,60.171596,76.356647,81.516396,104.168518,116.311859,134.019405,172.201231,157.955998,150.144409
     Rent net loss,NaN,NaN,NaN,NaN,NaN,NaN,12.507395,14.761087,19.553817,26.39885,32.473197,38.862999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Royalty net loss,NaN,NaN,NaN,NaN,NaN,NaN,0.229221,0.201705,0.117687,0.020427,0.012431,0.037477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Farm net loss,0.006816,NaN,NaN,0.014677,NaN,0.013969,2.398676,2.51596,2.211782,2.66901,2.895554,2.607243,1.675642,2.25979,1.748783,1.849205,1.854389,1.348342,1.70482,1.930801,2.296388,2.106348,2.110358,2.706695,2.66919,3.159824,3.438913,3.999938,3.722278,3.792196,4.260904,5.738117,5.738117,6.009888,7.389897,6.349983,6.419788,5.715943,7.89338,6.595942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss from other partnerships,1.150079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"     Net loss, noncapital assets",0.12033,NaN,NaN,0.193501,NaN,0.716247,0.568479,0.438252,0.217888,0.389944,0.290604,0.530744,1.022652,0.403651,0.682103,1.053321,0.377689,0.589459,0.577622,0.667548,0.705679,0.610676,0.748157,0.853481,1.167255,1.748046,4.530495,3.576661,2.254168,2.201202,2.992837,2.841852,2.841852,10.645567,11.937699,6.804798,7.398345,4.142433,6.154816,6.031652,6.485226,5.514782,6.058976,6.817904,7.210678,9.487067,8.728183,8.724084
     Other deductions,24.496517,NaN,NaN,47.406474,NaN,63.8865,51.260982,53.986241,52.355781,58.252033,66.430129,71.670832,71.88352,80.221966,87.627699,92.126318,95.042416,103.026051,112.276793,123.676375,143.328531,173.205878,220.836909,269.859625,313.263035,362.507941,417.404132,441.818861,455.023911,512.706488,568.977626,637.628843,637.628843,784.941709,689.292319,702.95779,744.072138,801.801859,840.673544,885.583881,937.420431,966.315795,1069.592085,1110.196946,1083.702513,1161.969081,1361.200726,1520.434162
Net profit (less loss),7.73757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net profit,22.431931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Net loss,14.694361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
 Ordinary business income (loss),NaN,NaN,NaN,14.446809,NaN,8.248656,-2.734897,-7.314587,-2.610041,-3.500024,-8.883674,-17.37086,19.30335,33.386948,29.788726,25.526781,25.028401,38.273759,51.418125,56.304445,60.858305,89.857772,92.866348,88.767531,107.481261,119.168367,114.217614,126.212499,154.485912,206.502522,308.977137,357.055417,357.055417,110.805898,137.813309,254.553535,255.75153,392.228047,387.606756,440.572628,379.936585,354.724024,358.945282,376.91223,292.638748,316.568537,661.461193,847.619582
      Net income,NaN,NaN,NaN,33.689343,NaN,45.061756,50.56719,53.556856,60.308114,69.696922,77.044693,80.214873,62.02899,75.446656,75.888759,76.43576,72.619843,81.87797,92.627139,98.075024,109.314199,149.821093,167.508411,182.442611,210.453491,240.565978,265.512155,266.933632,284.691823,347.277588,444.601621,516.281778,516.281778,524.951632,458.805359,499.945046,528.156205,623.270776,637.337054,690.096548,672.317946,665.512286,740.214518,768.052696,732.677071,870.954595,1152.241576,1336.553741
      Loss,NaN,NaN,NaN,19.242534,NaN,36.813101,53.302086,60.871442,62.918155,73.196946,85.928367,97.585733,42.72564,42.169708,46.100033,50.908979,47.591442,43.60421,41.209013,41.770579,48.455894,59.963321,74.642063,93.67508,102.97223,121.397612,151.294542,140.721133,130.205911,140.775066,135.624484,159.22636,159.22636,414.145735,320.99205,245.391511,272.404676,231.042728,249.730298,249.523921,292.381361,310.788263,381.269235,391.140466,440.038323,554.386058,490.780383,488.934159
Capital gains and losses allocable to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net short-term capital gain (less loss),NaN,NaN,NaN,0.246857,NaN,-0.004528,906.491741,1.249482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
    Net long-term capital gain (less loss),NaN,NaN,NaN,3.749996,NaN,6.386412,5.546775,7.060222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income distributed directly to partners:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Portfolio income:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
  Portfolio income (loss) distributed directly to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.662546,41.900637,49.21764,38.635985,34.070353,32.062494,44.314395,45.105521,77.342327,108.149024,140.336774,161.897547,206.713189,275.8273,152.983983,110.667014,188.901446,355.581512,535.267067,722.426524,722.426524,370.840964,222.071989,618.879004,665.684115,903.348369,910.672961,1076.596885,995.539608,850.020729,1214.674616,1211.350828,1154.695022,1337.776818,2631.754143,
     Interest income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.568398,19.776489,20.941861,20.799631,19.872179,15.570376,16.327321,19.450589,31.240619,33.363831,40.709135,51.454743,61.769762,82.322875,84.801548,70.225315,70.702884,87.94251,133.742088,193.499813,193.499813,245.112463,178.069262,182.578876,170.372178,166.218587,156.987861,153.825358,155.005964,181.106456,203.084474,240.778269,261.628027,237.489985,232.799046,335.128294
     Dividend income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.310346,2.849037,3.23928,2.827586,2.872179,2.516408,3.042507,4.448472,5.392016,8.844784,11.729852,13.710835,16.704092,20.921231,23.420217,26.271049,31.279662,49.289305,65.013094,83.89795,83.89795,96.314599,78.934953,130.843672,120.294486,157.907896,149.196774,162.729221,159.450074,166.780363,174.554145,184.802736,186.839272,197.343395,285.284706,296.286465
     Royalties ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.588096,0.588838,0.767254,0.911554,1.108967,1.484627,1.858988,2.375149,2.270245,2.962937,3.300635,3.686819,4.718816,5.958686,7.926721,7.984177,11.665867,12.05913,16.296768,14.219959,14.219959,22.131102,14.908744,19.329352,24.121426,23.545929,27.693086,34.711302,29.803275,27.998219,31.082457,40.549478,33.630926,38.812965,54.979643,80.464397
     Net short-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.414372,3.413904,9.689486,2.403648,2.877965,2.162063,5.170055,-1.054112,4.495804,8.123363,12.518579,1.147207,18.891946,13.134895,-11.062075,-4.764774,22.68121,27.837829,42.563416,54.613689,54.613689,-125.438062,64.099636,73.322513,17.653581,59.44329,90.348716,66.058368,5.086159,17.331887,90.372588,-29.523435,75.624458,80.106047,188.417925,-124.775201
     Net long-term capital gain (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.290025,14.746186,14.04131,10.83869,6.759199,9.497899,16.991553,19.264327,32.710599,53.249372,70.30933,90.016391,102.180129,147.822248,45.144675,9.151631,49.52153,178.452737,277.651703,376.195114,376.195114,132.720862,-113.940605,212.804591,333.242445,496.232666,486.446524,659.272636,646.194135,456.803804,715.580952,774.743781,596.972339,784.024424,1870.272823,968.284376
     Other portfolio income (less deficit),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.491309,0.526474,0.53845,0.854875,0.593426,0.83112,0.923972,0.621095,1.233044,1.604738,1.769243,1.881552,2.448445,5.667366,2.752897,1.799616,3.050294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Net rental real estate income (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.746473,-43.274662,-42.096327,-35.164507,-28.574631,-16.942212,-8.397349,-2.495091,4.365753,7.612463,17.326614,26.864282,36.43221,35.041911,42.801431,39.557953,30.541245,28.553287,18.506453,15.12215,15.12215,-12.517724,-3.663647,3.960412,8.21279,34.099923,42.943661,42.841947,54.409785,57.012446,41.740974,40.492618,-8.808487,-36.658977,-42.260936,-66.872253
   Net income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.145084,16.164498,17.749202,19.670063,20.15801,22.151863,24.987639,28.08162,32.091524,36.153925,43.843125,53.811644,63.020996,66.244247,77.143213,78.723925,77.470882,83.230533,87.034416,89.508702,89.508702,96.330537,96.236328,99.497506,102.623517,120.352343,128.910804,137.827541,150.848414,162.91611,167.219633,187.563644,169.436325,180.270946,213.650626,229.409176
   Loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.891557,59.43916,59.845529,54.83457,48.730641,39.094075,33.384988,30.576712,27.725771,28.541463,26.516511,26.947362,26.588786,31.202337,34.341782,39.165972,46.929637,54.677246,68.527963,74.386552,74.386552,108.848261,99.899975,95.537094,94.410727,86.25242,85.967142,94.985594,96.438628,105.903665,125.478658,147.071026,178.244812,216.929923,255.911563,296.281429
Other net rental income (loss),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.065869,0.639991,0.920031,0.853621,0.519648,1.18257,1.478724,1.478416,1.469214,0.971723,0.538898,0.338865,-1.116481,-0.089676,0.414396,-1.38344,-0.327646,0.391639,3.674564,2.923321,2.923321,-3.661014,3.815928,2.461886,2.144314,3.924094,4.413193,2.762459,1.898684,4.082134,0.650215,1.174361,-5.282038,6.696955,2.858775,-2.597844
   Net income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.341105,2.437243,2.389838,2.153623,2.585961,2.582159,2.679272,3.048067,3.352876,2.925324,3.049946,2.94219,2.932258,4.611795,5.044347,4.31794,5.039003,6.059852,7.240732,6.831229,6.831229,8.080754,10.813223,8.219611,7.207481,7.721229,8.617407,7.949916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.275235,1.797252,1.469807,1.300003,2.066313,1.399589,1.200549,1.569651,1.883662,1.953601,2.511048,2.603325,4.048739,4.701471,4.629951,5.70138,5.366649,5.668213,3.566168,3.907908,3.907908,11.741769,6.997295,5.757726,5.063167,3.797135,4.204214,5.187457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
