Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Other current assets ,8.512382,10.304816,13.664212,NaN,21.960519,22.72904,32.362577,36.860706,44.625228,51.164425,61.487168,73.058482,83.039563,100.330854,118.746091,128.866123,145.101716,162.340797,181.3733,206.725556,259.68414,310.17716,320.511852,436.507859,433.594597,513.743712,629.136396,739.043506,836.599341,912.145245,1025.760249,1164.582476,1133.425425,1283.851498,1537.521042,1662.091483,1835.051182,2045.356655,2386.864393,2738.441339,2639.764762,3206.693449,3663.607042,3509.562061,3868.061886,4449.284482,5309.202111,5608.517505,6484.006724,5091.760177,5107.369654,4961.285424,5076.673794,5344.98804,5503.870109,5459.538608,5376.537641,5290.428317,4925.328666,5287.220254,5723.305227,6898.896101,7762.341085,7983.906637
    Loans to shareholders ,NaN,0.498206,1.054212,NaN,2.379096,1.627305,1.842664,2.295985,2.635747,3.230379,4.13578,4.774082,5.800573,6.317987,7.253568,7.900362,9.355636,11.888153,14.380704,18.304758,25.429489,29.87325,32.042366,38.304326,47.836294,58.543009,56.761232,63.653862,71.237313,79.855312,81.223634,94.866044,84.545262,87.204098,83.90067,85.343725,92.774645,113.266363,119.409603,135.05218,126.016307,157.029888,189.958748,194.543759,212.36472,183.667567,445.24468,519.913546,555.986154,254.235487,716.671253,263.417518,256.741875,272.007849,305.317396,482.047573,415.326201,488.351107,672.067657,649.612212,643.486755,720.614596,719.350624,882.734085
    Mortgage and real estate loans,117.854966,129.375905,142.378209,NaN,NaN,NaN,NaN,177.688266,254.935744,277.440234,300.099674,327.593354,365.657838,417.997834,462.898648,508.397657,548.054483,598.859539,661.272988,762.046306,840.876064,894.323489,933.673294,942.428269,982.415018,1126.962114,1258.672577,1377.441452,1455.222233,1604.896498,1610.211866,1537.899636,1529.474897,1566.888344,1626.813106,1660.947165,1713.312936,1825.115246,2028.635427,2414.901336,2554.658266,2821.508159,3228.970528,3687.181263,4072.938126,4626.579648,4776.955204,5231.678721,5176.838603,5450.234189,4846.875344,7913.81023,7615.290526,7578.933204,7533.462429,7506.046862,8150.860476,8192.075548,8446.520658,8766.624288,11133.511429,11559.516703,13052.671557,13693.874614
    Other investments ,166.585027,178.91653,190.504372,NaN,383.014177,428.610764,463.378103,319.721854,283.965527,329.605275,370.458067,401.389022,455.440331,507.572965,549.082025,570.135387,626.266074,699.02691,820.704826,868.776652,1027.90038,1213.98621,1388.244142,1604.730616,1798.295351,1972.830815,2413.551474,2847.727452,3227.237568,3614.43847,3970.942298,4136.891162,4749.822622,4970.564447,5700.750483,6265.265758,7429.369054,8657.455602,10756.027535,13201.119823,15799.039436,17873.853425,18343.524687,18727.600926,20535.952107,22657.060564,25161.629498,27903.223897,30938.678512,27168.915167,27573.505524,29389.379468,29744.793619,32157.596634,34757.775536,37092.911322,37164.497375,39315.156891,43166.356702,44518.702338,46354.076161,50887.646185,61064.158609,57099.301704
    Depreciable assets ,397.167908,425.474439,452.631856,477.961577,503.651461,538.097408,581.071598,630.786479,680.143981,732.974675,810.222784,868.908018,921.318755,994.265171,1079.010368,1179.165211,1276.5645,1382.572361,1536.011959,1696.212705,1896.559882,2107.027914,2352.655342,2583.060326,2730.371698,2913.301626,3174.193649,3382.556559,3602.960891,3820.961787,4069.775039,4317.781452,4549.055093,4755.145257,4968.959443,5284.097003,5571.142501,5923.297939,6208.236257,6541.280743,6935.503013,7291.998758,7613.59048,7677.626201,7804.548186,7973.940602,8415.761105,8817.095391,9221.635446,9466.523654,9613.451456,9875.410289,10225.874777,10672.355472,11210.17041,11852.319323,12350.049023,12679.537282,13120.628887,13790.299989,14590.630645,14556.689258,15479.158155,16854.558246
    Depletable assets ,12.098349,12.371447,13.072645,NaN,14.583666,16.427388,18.053601,17.944017,18.71839,20.310774,18.213301,18.517264,22.282915,23.354893,30.879141,37.076623,38.511396,43.162261,51.790975,44.77044,57.655398,71.90149,84.098891,94.637768,107.958232,114.808431,112.339389,116.010459,123.104144,124.421968,134.392549,129.370543,141.758337,130.636678,136.837315,147.61755,153.542647,168.555605,177.493362,192.668634,183.593413,191.35334,198.775908,226.336112,237.004322,269.600908,310.219056,382.245345,496.865013,587.260196,628.841094,661.360291,757.03184,855.423891,922.340015,1030.78968,1038.272659,923.191074,917.316119,944.776814,923.054862,825.417435,806.657344,911.626656
    Land ,17.259733,19.040597,21.393529,NaN,25.883549,28.202849,31.107238,34.068999,36.646882,39.062303,44.356664,46.626157,49.158887,53.191949,59.334112,64.509343,66.819206,69.617238,73.887346,79.65434,85.080153,92.931935,101.946016,110.318941,119.350378,128.269064,141.448357,149.52245,158.817879,177.037541,191.299047,209.579296,215.498441,221.387129,230.380089,239.430463,242.340731,254.03894,262.040328,271.489857,286.497086,302.83191,319.953637,325.689411,341.705785,362.615279,406.830196,456.534251,492.753898,509.03171,516.544666,548.409037,567.344435,584.428017,601.230878,633.254835,669.108191,691.24172,714.819279,747.214201,807.785559,761.538561,822.777515,893.520128
    Intangible assets (amortizable),2.976167,3.05519,3.315539,NaN,3.422804,3.637211,3.937165,5.730078,7.296132,7.912713,11.854588,12.818168,10.589889,11.676116,8.656418,11.431279,12.823183,14.534249,15.908335,34.227958,37.394782,45.480694,55.131152,81.178989,87.85259,117.467829,145.290625,212.265625,262.309525,329.484622,438.136945,491.252807,489.78249,528.635628,559.011523,630.43974,749.166777,923.607329,1116.983115,1376.300094,1717.25143,2246.509413,2474.758111,2353.465751,2421.707223,2772.388173,3055.30317,3500.59685,4065.563617,4156.36924,4463.116772,4577.892532,4827.472371,5180.092464,5432.779593,5798.596127,6390.056314,6827.692127,7299.802469,7763.193517,8444.417208,8331.586637,9439.187972,10559.664432
    Other assets,25.496055,28.258796,30.566451,NaN,35.236599,39.740968,38.075839,36.944059,42.868297,49.800827,60.606821,69.838438,77.724839,85.893732,98.860837,122.996047,121.065665,120.106424,131.16793,153.024102,176.110231,187.015106,347.378352,362.146111,474.727482,521.126077,582.949738,634.329507,817.953526,889.325583,925.81468,1052.544294,1021.984633,1138.21931,1273.616767,1478.884199,1667.952459,1727.499772,1958.354154,2099.426516,2117.63151,2848.669891,3086.871379,3426.569347,3383.190167,3799.474366,4119.560739,4418.169674,5253.800016,6116.965227,5454.93623,5320.073116,5106.072476,5020.218338,4770.750937,6760.669513,6985.62117,7165.114717,6685.604519,5099.65427,5937.880237,6207.833752,6714.015195,8129.785428
    Less:  Allowance for bad debts,4.686434,5.097051,5.812808,NaN,8.413993,11.545587,13.263527,13.906411,14.6818,16.516422,18.361126,20.030327,21.000811,22.992853,24.729249,31.367517,31.032998,32.024662,34.345449,38.204317,42.800472,50.057307,44.840794,46.645987,51.162613,54.341071,61.580335,74.228426,95.203843,96.744285,104.026839,110.059993,114.576136,118.702488,117.104017,115.154287,121.339912,119.23762,122.820548,128.129657,139.597391,148.289201,180.317404,184.924054,166.436901,166.296012,170.466986,166.537448,195.671756,275.816749,314.476351,318.061372,274.615718,245.131756,222.931615,209.743782,204.628281,217.973489,222.332303,219.192437,227.386563,330.318807,294.821093,338.598417
